psi_deg,lat_deg,lon_deg,elev_m,eff_radius_km,ang_rad,radius_px,x_px,y_px,sun_visible
0.0,21.68771000528674,91.80968266134963,2729.7054800568985,1740.1297054800573,0.004900448757311216,32.76744204759791,32.76744204759791,0.0,True
0.17578125,21.863490819751036,91.80926129103818,2729.707195728006,1740.1297071957283,0.004900448762136865,32.76744207986571,32.76728787004358,0.10052909553401991,True
0.3515625,22.03927163314167,91.80883888199793,2729.7089112952053,1740.1297089112954,0.004900448766962514,32.767442112133516,32.76682527429587,0.20105724504789793,True
0.52734375,22.21505244544643,91.80841542240191,2729.7106267574018,1740.1297106267577,0.004900448771833474,32.76744214470429,32.766054265011256,0.3015835023351906,True
0.703125,22.390833256653004,91.80799090032465,2729.712342113282,1740.1297123421136,0.004900448776613811,32.767442176669114,32.76497484853727,0.40210692119610886,True
0.87890625,22.566614066748944,91.80756530374066,2729.7140573617617,1740.129714057362,0.004900448781462116,32.7674422090884,32.76358703609356,0.5026265554766332,True
1.0546875,22.742394875721708,91.80713862052292,2729.715772501524,1740.1297157725019,0.004900448786287765,32.76744224135621,32.76189084013622,0.6031414590407034,True
1.23046875,22.918175683558676,91.80671083844139,2729.7174875313394,1740.1297174875317,0.004900448791113414,32.767442273624006,32.759886276781344,0.703650685805615,True
1.40625,23.09395649024709,91.80628194516149,2729.719202450109,1740.1297192024504,0.004900448795984374,32.76744230619479,32.75757336519896,0.8041532897476703,True
1.58203125,23.269737295774085,91.8058519282425,2729.7209172564544,1740.1297209172567,0.0049004488007647114,32.767442338159604,32.75495212624977,0.9046483248757643,True
1.7578125,23.44551810012669,91.80542077513606,2729.722631949211,1740.1297226319496,0.004900448805635672,32.767442370730386,32.75202258581678,1.005134845323938,True
1.9335937499999998,23.62129890329183,91.8049884731845,2729.724346527066,1740.1297243465274,0.00490044881046132,32.76744240299819,32.748784770564754,1.1056119052496787,True
2.109375,23.79707970525631,91.80455500961921,2729.726060988716,1740.129726060989,0.0049004488152643135,32.76744243511449,32.74523871112009,1.206078558927401,True
2.28515625,23.972860506006803,91.80412037155905,2729.727775332918,1740.1297277753333,0.004900448820089963,32.7674424673823,32.74138444116186,1.3065338607373649,True
2.4609375,24.148641305529893,91.80368454600863,2729.729489558362,1740.1297294895587,0.0049004488249156115,32.767442499650095,32.737221996815876,1.4069768651508752,True
2.63671875,24.324422103812008,91.8032475198566,2729.7312036637413,1740.129731203664,0.0049004488297639155,32.76744253206938,32.73275141741141,1.507406626767066,True
2.8125,24.50020290083949,91.80280927987398,2729.732917647674,1740.129732917648,0.004900448834544253,32.7674425640342,32.72797274442132,1.6078222002744051,True
2.98828125,24.675983696598532,91.80236981271236,2729.73463150892,1740.1297346315093,0.004900448839392558,32.7674425964535,32.72288602373164,1.70822264056645,True
3.1640625,24.851764491075222,91.80192910490213,2729.7363452460995,1740.1297363452463,0.004900448844218207,32.7674426287213,32.717491302614626,1.8086070026067183,True
3.33984375,25.0275452842555,91.80148714285066,2729.738058857827,1740.129738058858,0.004900448849043855,32.76744266098909,32.71178863199816,1.9089743415467648,True
3.515625,25.2033260761252,91.80104391284053,2729.7397723427202,1740.129739772343,0.004900448853846848,32.767442693105394,32.705778065406136,2.0093237126816472,True
3.69140625,25.379106866670003,91.80059940102758,2729.741485699473,1740.1297414856997,0.004900448858672498,32.76744272537321,32.69945965971416,2.109654171502946,True
3.8671874999999996,25.554887655875458,91.80015359343909,2729.743198926626,1740.129743198927,0.004900448863520802,32.76744275779249,32.69283347439273,2.209964773663523,True
4.04296875,25.730668443727,91.7997064759718,2729.7449120227284,1740.129744912023,0.004900448868323795,32.7674427899088,32.68589957135601,2.3102545749710983,True
4.21875,25.906449230209923,91.79925803439001,2729.7466249864665,1740.1297466249869,0.004900448873217411,32.76744282263108,32.67865801677462,2.4105226315239103,True
4.39453125,26.082230015309353,91.79880825432357,2729.748337816309,1740.1297483378166,0.004900448877975093,32.767442854444404,32.67110887729733,2.5107679994502607,True
4.5703125,26.25801079901031,91.7983571212659,2729.7500505108073,1740.1297500505111,0.004900448882823397,32.767442886863684,32.663252225489636,2.6109897353148948,True
4.74609375,26.43379158129765,91.79790462057186,2729.7517630685797,1740.129751763069,0.004900448887649045,32.76744291913149,32.65508813454547,2.7111868957355068,True
4.921875,26.609572362156094,91.7974507374558,2729.7534754880908,1740.1297534754883,0.004900448892474694,32.76744295139929,32.64661668145878,2.81135853762982,True
5.09765625,26.78535314157021,91.79699545698934,2729.755187767816,1740.129755187768,0.004900448897300343,32.76744298366709,32.637837945965515,2.9115037181441403,True
5.2734375,26.96113391952442,91.79653876409927,2729.7568999063005,1740.1297568999066,0.004900448902103336,32.76744301578339,32.628752010543,3.011621494659911,True
5.44921875,27.136914696002982,91.79608064356538,2729.7586119020198,1740.1297586119024,0.0049004489069063295,32.767443047899704,32.61935896086189,3.111710924843435,True
5.625,27.312695470990025,91.79562108001824,2729.760323753366,1740.1297603237538,0.0049004489117546336,32.767443080319,32.60965888563403,3.2117710666445167,True
5.80078125,27.4884762444695,91.7951600579369,2729.76203545896,1740.1297620354592,0.004900448916534971,32.76744311228381,32.599651875405776,3.3118009781851527,True
5.9765625,27.664257016425207,91.79469756164669,2729.763747017052,1740.1297637470175,0.00490044892136062,32.7674431445516,32.589338025120085,3.4117997180203665,True
6.15234375,27.840037786840778,91.79423357531685,2729.7654584261218,1740.1297654584264,0.004900448926208925,32.76744317697091,32.57871743170335,3.5117663449104124,True
