contact,utc_iso,et,sep_deg,Rsun_deg,Rmoon_deg
first_contact,2006 MAR 29 09:35:23.549,196896988.734302,0.5473233483298418,0.2669927461338098,0.2804553629649151
second_contact,2006 MAR 29 10:55:42.443,196901807.62883326,0.013346442105973674,0.2669883567896644,0.28032757297848976
center,2006 MAR 29 10:54:04.555,196901709.74064967,0.006986184038260467,0.26698845710212693,0.2803348765866617
third_contact,2006 MAR 29 10:52:26.626,196901611.81145045,0.013346464116208464,0.2669885570002635,0.2803419909536752
fourth_contact,2006 MAR 29 12:11:27.194,196906352.37980983,0.547323275865079,0.26698321427811644,0.27978461751290196
