frame,time_s_center,time_s_from_start,moon_distance_km,moon_px,sun_px,scale_pct,screen_x_px,screen_y_px,alpha_deg,beta_deg,angular_sep_deg,sun_az_deg,sun_alt_deg,moon_az_deg,moon_alt_deg
0,-5400.0,0.0,354972.8255214448,65.45425990837121,62.27263329431681,13.090851981674243,63.688741479643284,-34.898142850390556,0.5457188498965263,-0.29903208838522605,0.6222687824612269,160.90172068572795,55.813591387012025,161.86547824908249,55.51077616721642
1,-5394.597298649324,5.40270135067567,354972.5775556553,65.45430563138831,62.2726323337532,13.09086112627766,63.60507223040553,-34.89745365318339,0.5450019707519546,-0.2990261829610121,0.6216373698952999,160.94029157953022,55.81955849793708,161.9029293459998,55.516758272957546
2,-5389.19459729865,10.805402701350431,354972.33033805434,65.4543512165087,62.272631372864176,13.090870243301739,63.521417323113,-34.89669822306793,0.5442852143187449,-0.2990197100164696,0.6210059772277473,160.97887404663163,55.82551404074738,161.94039163419902,55.52272936907817
3,-5383.791895947974,16.2081040520261,354972.0838687141,65.45439666371846,62.272630411649644,13.090879332743691,63.43777686656425,-34.89587652222913,0.5435685815293971,-0.2990126692275762,0.6203746047723839,161.01746807070168,55.83145800927781,161.97786509952465,55.528689449713035
4,-5378.389194597298,21.61080540270177,354971.838148049,65.45444197294064,62.27262945010948,13.090888394588129,63.354150903395016,-34.89498850190391,0.5428520727495276,-0.29900506017650064,0.6197432522998507,161.05607363536896,55.83739039737124,162.01534972678402,55.53463850910649
5,-5372.9864932466235,27.013506753376532,354971.59317558206,65.4544871442626,62.272628488243825,13.090897428852518,63.270539442818425,-34.89403411071689,0.5421356880583867,-0.2989968824230278,0.6191119193182573,161.0946907242165,55.84331119887866,162.05284550023606,55.54057654153747
6,-5367.583791895948,32.4162081040522,354971.34895156394,65.45453217763755,62.272627526052574,13.090906435527508,63.18694268947784,-34.893013323546015,0.5414194292096762,-0.2989881357518955,0.6184806069095018,161.13331932078546,55.849220407657896,162.0903524070539,55.54650354104365
7,-5362.181090545273,37.81890945472696,354971.1054762769,65.45457707301289,62.27262656353575,13.090915414602577,63.10336061380826,-34.89192608303653,0.5407032959503951,-0.29897881967165346,0.6178493142637212,161.17195940857113,55.855118017575414,162.12787043082832,55.55241950197533
8,-5356.778389194597,43.221610805402634,354970.86274959124,65.45462183041192,62.27262560069324,13.090924366082385,63.01979327785316,-34.89077234404706,0.5399872888124466,-0.2989689337955025,0.6172180413079442,161.21061097102682,55.86100402250509,162.1653995564952,55.55832441857476
9,-5351.375687843922,48.624312156078304,354970.6207713829,65.45466644985702,62.272624637525105,13.090933289971405,62.93624079474024,-34.88955207029254,0.5392714087654251,-0.298958477812529,0.6165867883876929,161.24927399156402,55.866878416329044,162.20293976972337,55.56421828501055
10,-5345.972986493247,54.027013506753065,354970.37954148714,65.45471093137792,62.27262367403142,13.090942186275583,62.85270316375591,-34.88826520840619,0.5385556558035296,-0.2989474512654534,0.6159555549232526,161.28794845354759,55.87274119293684,162.24049105441674,55.57010109561863
11,-5340.570285142571,59.429714857428735,354970.1390608491,65.45475527479987,62.27262271021193,13.090951054959973,62.769180516945454,-34.88691172327136,0.5378400310584417,-0.2989358538533735,0.6153243414044246,161.32663434030135,55.878592346226355,162.2780533964485,55.57597284457124
12,-5335.167583791896,64.8324162081044,354969.899328639,65.45479948027524,62.27262174606666,13.090959896055049,62.685672922851154,-34.8854915720528,0.5371245351177478,-0.2989236852092493,0.6146931478118659,161.36533163510572,55.884431870103334,162.3156267806908,55.58183352612217
13,-5329.764882441221,70.23511755877917,354969.66034517396,65.45484354774503,62.27262078159571,13.090968709549006,62.602180446962265,-34.884004711102435,0.5364091685428758,-0.29891094495907616,0.6140619740988785,161.40404032119696,55.89025975848127,162.35321119192827,55.587683134540406
14,-5324.362181090545,75.63781890945484,354969.4221109099,65.4548874771246,62.27261981679908,13.090977495424921,62.518703075455896,-34.88245108568322,0.5356939312157049,-0.2988976326338326,0.6134308195779575,161.44276038176574,55.896076005282026,162.39080661370258,55.59352166420748
15,-5318.9594797398695,81.0405202601305,354969.1846258779,65.45493126840768,62.27261885167649,13.090986253681535,62.43524093717186,-34.88083066162317,0.5349788242404531,-0.29888374794071,0.6127996847140472,161.48149179996324,55.901880604435014,162.42841303167683,55.599349109319746
16,-5313.556778389195,86.44322161080527,354968.9478890194,65.4549749217889,62.27261788622822,13.090994984357781,62.351794158867854,-34.87914340418595,0.5342638487034999,-0.29886929058206385,0.6121685699526346,161.52023455889625,55.907673549878076,162.46603043144165,55.605165464087065
17,-5308.154077038519,91.84592296148094,354968.71190152265,65.45501843704858,62.27261692045406,13.091003687409716,62.26836271204317,-34.87738925638769,0.5335490043609649,-0.29885426006962007,0.611537474483964,161.55898864162626,55.91345483555737,162.50365879619525,55.61097072293648
18,-5302.751375687844,97.2486243121557,354968.47666331567,65.45506181419947,62.27261595435403,13.091012362839894,62.184946699021985,-34.87556818048016,0.5328342920898801,-0.2988386560799262,0.6109063985560625,161.59775403117357,55.919224455426466,162.54129811107714,55.61676488012235
19,-5297.348674337169,102.65132566283137,354968.2421740001,65.45510505331448,62.27261498792817,13.091021010662896,62.10154623012684,-34.8736801408515,0.5321197128358094,-0.29882247830783515,0.6102753424843244,161.63653071051604,55.9249824034477,162.57894836130845,55.62254792988863
20,-5291.945972986493,108.05402701350704,354968.00843384065,65.45514815434423,62.27261402117634,13.091029630868844,62.018161257153565,-34.87172507659883,0.5314052661860517,-0.2988057262314924,0.6096443052926411,161.67531866258375,55.93072867359142,162.61660952966517,55.62831986672251
21,-5286.543271635818,113.4567283641818,354967.7754432605,65.45519111721015,62.272613054098564,13.09103822344203,61.93479198279324,-34.869702965678606,0.5306909538775892,-0.29878839966201104,0.6090132880410564,161.71411787026952,55.93646325983587,162.65428160268758,55.634080684756945
22,-5281.1405702851425,118.85942971485747,354967.54320178134,65.4552339419999,62.27261208669483,13.091046788399979,61.85143841585134,-34.86761375748162,0.5299767759861831,-0.2987704981657379,0.6083822902203222,161.75292831641772,55.94218615616794,162.6919645639343,55.63983037840094
23,-5275.737868934467,124.26213106553314,354967.31170953845,65.45527662868797,62.27261111896522,13.091055325737594,61.76810062469261,-34.86545740910562,0.5292627330979013,-0.29875202137505713,0.607751311797335,161.79174998383183,55.947897356582445,162.72965839782788,55.64556894199848
24,-5270.335167583792,129.6648324162079,354967.08096621704,65.4553191773319,62.272610150909614,13.091063835466379,61.68477866160513,-34.86323387602934,0.5285488256610664,-0.29873296890847995,0.6071203526111237,161.83058285527346,55.95359685508284,162.76736308850792,55.65129636991798
25,-5264.932466233116,135.06753376688357,354966.85097291187,65.45536158772926,62.27260918252787,13.091072317545851,61.60147263049406,-34.86094312213943,0.5278350545662597,-0.2987133404565611,0.6064894129200816,161.86942691345902,55.95928464568041,162.80507862085358,55.65701265645771
26,-5259.529764882442,140.47023511755833,354966.62172895076,65.45540386000346,62.272608213820114,13.09108077200069,61.518182542033706,-34.85858509597703,0.5271214199052544,-0.29869313557836624,0.6058584922214656,161.90828214106236,55.96496072239557,162.84280497829155,55.6627177960674
27,-5254.127063531766,145.872936468234,354966.3932345203,65.45544599411957,62.27260724478634,13.091089198823912,61.43490854094344,-34.856159768219605,0.5264079229183312,-0.2986723540226375,0.6052275911042914,161.94714852071363,55.970625079255804,162.88054214623884,55.66841178299876
28,-5248.72436218109,151.27563781890967,354966.165489157,65.4554879901625,62.27260627542651,13.0910975980325,61.35165066176278,-34.8536670915594,0.5256945639017427,-0.29865099538400897,0.6045967092590402,161.98602603500194,55.976277710298454,162.91829010840445,55.6740946116802
29,-5243.321660830416,156.67833916958443,354965.9384937717,65.45552984796377,62.27260530574047,13.091105969592757,61.268408932347384,-34.85110701787743,0.5249813430944741,-0.2986290592501638,0.603965846322091,162.02491466647055,55.9819186095684,162.95604884835257,55.679766276555426
30,-5237.91895947974,162.0810405202601,354965.71224859764,65.45557156747988,62.272604335728246,13.091114313495975,61.1851834780936,-34.84847951455034,0.524268261571246,-0.29860654534156006,0.6033350027208766,162.0638143976217,55.98754777111897,162.99381835108798,55.68542677193269
31,-5232.516258129064,167.48374187093577,354965.4867520299,65.45561314900618,62.27260336539011,13.091122629801236,61.101974385416696,-34.84578454357435,0.5235553200727867,-0.29858345333255315,0.6027041785683723,162.1027252109154,55.99316518901233,163.03159860098486,55.691076092179685
32,-5227.1135567783895,172.88644322161053,354965.2620060611,65.45565459217477,62.27260239472558,13.091130918434954,61.01878165447868,-34.84302205236486,0.5228425186008009,-0.29855978277256173,0.6020733732726342,162.14164708876373,55.99877085731896,163.0693895810644,55.69671423180731
33,-5221.710855427714,178.2891445722862,354965.0380095072,65.45569589720341,62.27260142373489,13.091139179440683,60.93560540296046,-34.84019200785398,0.5221298581639038,-0.29853553337823424,0.6014425871981581,162.18058001354342,56.00436477011787,163.10719127609707,55.70234118515438
34,-5216.308154077038,183.69184592296187,354964.8147628325,65.45573706400599,62.27260045241802,13.091147412801195,60.85244564726279,-34.83729436029886,0.5214173389029347,-0.2985107047233386,0.6008118198839433,162.21952396758056,56.00994692149662,163.14500366926924,55.707956946722696
35,-5210.905452726363,189.09454727363664,354964.5922659259,65.45577809260246,62.2725994807749,13.091155618520492,60.769302530113286,-34.834329080540854,0.520704962041112,-0.2984852965580196,0.6001810718949496,162.2584789331632,56.01551730555144,163.1828267456485,55.71356151083204
36,-5205.502751375688,194.4972486243123,354964.37051965634,65.45581898283206,62.27259850880551,13.091163796566411,60.68617609006373,-34.83129612310012,0.5199927279090674,-0.2984593084925725,0.5995503429507976,162.29744489253665,56.021075916387275,163.22066048868186,55.71915487196269
37,-5200.100050025012,199.89994997498798,354964.14952264697,65.45585973494818,62.27259753650983,13.091171946989636,60.60306638568081,-34.82819544621358,0.5192806370089219,-0.2984327401691399,0.598919632934753,162.33642182790024,56.02662274811723,163.2585048820764,55.724737024569
38,-5194.697348674337,205.30265132566274,354963.9292756021,65.45590034882042,62.272596563887824,13.091180069764082,60.51997347578889,-34.82502700639085,0.5185686898450048,-0.29840559121506366,0.5982889417235844,162.3754097214107,56.03215779486366,163.29635990950356,55.73030796312939
39,-5189.294647323662,210.7053526763384,354963.7097788608,65.45594082438575,62.2725955909395,13.091188164877149,60.4368974451653,-34.82179076660635,0.5178568871440129,-0.29837786131307936,0.5976582694133198,162.41440855518525,56.03768105075701,163.3342255549914,55.73586768207209
40,-5183.891945972987,216.10805402701317,354963.4910323358,65.45598116165974,62.27259461766482,13.091196232331948,60.353838364343055,-34.818486686408654,0.5171452295105964,-0.298349550116568,0.5970276159784048,162.45341831129488,56.043192509937086,163.37210180230866,55.74141617586567
41,-5178.489244622311,221.51075537768884,354963.2730362031,65.45602136060944,62.27259364406366,13.091204272121887,60.27079632245116,-34.81511472873619,0.516433717708738,-0.2983206573079563,0.5963969815446517,162.49243897177067,56.04869216655216,163.40998863546903,55.74695343895615
42,-5173.0865432716355,226.9134567283645,354963.0557897064,65.45606142137378,62.27259267013628,13.091212284274755,60.1877713695401,-34.811674850455155,0.5157223521675928,-0.2982911825176408,0.5957663659207463,162.5314705185979,56.05418001475909,163.4478860378497,55.75247946585459
43,-5167.683841920961,232.31615807903927,354962.8392941603,65.45610134370986,62.27259169588225,13.09122026874197,60.104763539049884,-34.808167005503414,0.5150111331739952,-0.2982611253509262,0.5951357687786692,162.57051293372223,56.05965604872392,163.48579399253848,55.757994251108244
44,-5162.281140570285,237.71885942971494,354962.6235481147,65.45614112788456,62.2725907213021,13.091228225576913,60.021772933723994,-34.804591159958036,0.5143000616085791,-0.2982304855171324,0.5945051903553784,162.6095661990436,56.06512026262126,163.52371248363255,55.76349778916117
45,-5156.878439219609,243.1215607803906,354962.4085530438,65.45618077362552,62.272589746395234,13.091236154725102,59.93879969136114,-34.800947283994766,0.5135891386523352,-0.29819926276069886,0.593874631163878,162.64863029642294,56.07057265063446,163.5616414957263,55.76899007442713
46,-5151.475737868935,248.52426213106537,354962.19430811796,65.45622028108524,62.272588771161914,13.091244056217047,59.85584379818724,-34.79723532549209,0.512878364187564,-0.2981674566350095,0.59324409049684,162.68770520767424,56.076013206955984,163.599581011066,55.77447110153723
47,-5146.073036518259,253.92696348174104,354961.9808140006,65.45625965014088,62.272587795602,13.091251930028175,59.77290532358994,-34.793455244564754,0.512167738809104,-0.29813506679829527,0.5926135683149517,162.72679091457013,56.08144192578737,163.6375310131231,55.77994086501742
48,-5140.670335167584,259.3296648324158,354961.76806937094,65.45629888103551,62.272586819715904,13.091259776207101,59.689984357663256,-34.789607005384084,0.511457263289208,-0.2981020929435458,0.5919830647485647,162.76588739884437,56.08685880133881,163.67549148564746,55.78539935936538
49,-5135.2676338169085,264.7323661830915,354961.5560762897,65.45633797338861,62.27258584350298,13.091267594677722,59.607080973676105,-34.78569056846408,0.5107469382559701,-0.29806853473241257,0.5913525797864877,162.80499464218326,56.0922638278294,163.7134624120886,55.790846579120824
50,-5129.864932466233,270.13506753376714,354961.34483358625,65.45637692741555,62.2725848669635,13.091275385483108,59.52419524195066,-34.78170589471397,0.5100367643122367,-0.2980343918299336,0.590722113396295,162.84411262623408,56.097656999487576,163.75144377581492,55.796282518829955
51,-5124.462231115558,275.5377688844419,354961.13434171164,65.45641574303268,62.27258389009739,13.091283148606536,59.441327253615654,-34.777652949579426,0.5093267422391273,-0.29799966394001715,0.5900916657179445,162.88324133259934,56.103038310550495,163.78943556046872,55.80170717300645
52,-5119.059529764882,280.9404702351176,354960.9246003997,65.45645442028858,62.27258291290468,13.091290884057717,59.35847705468595,-34.77353168938761,0.508616872431221,-0.2979643506884391,0.589461236517151,162.92238074284057,56.1084077552644,163.8274377489684,55.80712053625636
53,-5113.656828414207,286.34317158579324,354960.7156092855,65.45649295925003,62.27258193538544,13.091298591850006,59.2756446776991,-34.76934206893735,0.5079071551676217,-0.2979284516878792,0.5888308254524479,162.961530838474,56.1137653278849,163.86545032398428,55.81252260320973
54,-5108.254127063532,291.745872936468,354960.50736916554,65.45653135976971,62.27258095753953,13.091306271953943,59.192830297629776,-34.76508406757563,0.5071975919478516,-0.2978919667613597,0.5882004333403471,163.00069160097794,56.1191110226761,163.9034732703182,55.817913368278916
55,-5102.851425712856,297.1485742871437,354960.2998803364,65.45656962179241,62.27257997936674,13.091313924358483,59.110033899210464,-34.760757631905214,0.5064881826414157,-0.2978548954513317,0.5875700594482917,163.03986301178523,56.12444483391203,163.9415065698352,55.82329282618805
56,-5097.448724362181,302.55127563781934,354960.093142197,65.4566077454285,62.272579000867445,13.091321549085698,59.02725553978141,-34.75636272169872,0.5057789277399309,-0.2978172374130928,0.5869397036365214,163.07904505228638,56.12976675587521,163.97955020546485,55.82866097154888
57,-5092.046023011506,307.9539769884941,354959.8871545759,65.4566457307091,62.27257802204139,13.09132914614182,58.944495344880735,-34.75189930799643,0.5050698283193421,-0.29777899239848793,0.5863093663166414,163.1182377038318,56.1350767828578,164.01760416113723,55.83401779887868
58,-5086.64332166083,313.3566783391698,354959.6819176208,65.45668357760647,62.272577042888734,13.091336715521292,58.86175340426862,-34.747367355155156,0.5043608851490444,-0.2977401601020942,0.5856790476056825,163.15744094772748,56.14037490916074,164.05566842019655,55.83936330276483
59,-5081.2406203101555,318.75937968984454,354959.47743226844,65.45672128594747,62.27257606340907,13.091344257189494,58.77902969808855,-34.74276681024531,0.5036520980592245,-0.2977007400703691,0.5850487467355501,163.19665476523727,56.14566112909483,164.0937429642785,55.844697477964935
60,-5075.83791895948,324.1620810405202,354959.273697739,65.45675885587532,62.27257508360273,13.091351771175063,58.696324408417695,-34.73809765426327,0.5029434686102615,-0.2976607321404665,0.5844184645746535,163.23587913758539,56.15093543697941,164.13182777805608,55.85002031893205
61,-5070.435217608804,329.5647823911959,354959.0707142093,65.45679628735702,62.272574103469594,13.091359257471405,58.613637491750396,-34.7333598299265,0.5022349964297129,-0.29762013582154484,0.5837882001595712,163.27511404594915,56.15619782714357,164.16992284272325,55.85533182048207
62,-5065.032516258129,334.96748374187064,354958.8684823272,65.45683358027257,62.272573123009444,13.091366716054514,58.53096909884421,-34.72855331323005,0.5015266828096087,-0.29757895090790343,0.5831579541034845,163.31435947146787,56.161448293925844,164.2080281423967,55.86063197713371
63,-5059.629814907454,340.3701850925463,354958.66700120614,65.45687073478503,62.272572142222714,13.091374146957005,58.44831928098751,-34.723678063283636,0.5008185281897136,-0.29753717704915833,0.5825277262113274,163.35361539523737,56.16668683167352,164.24614365963754,55.86592078357021
64,-5054.227113556778,345.772886443222,354958.4662710108,65.45690775086351,62.272571161109056,13.0913815501727,58.36568814403147,-34.71873404837618,0.5001105334772946,-0.2974948139735781,0.5818975167290518,163.3928817983128,56.171913434743864,164.28426937780014,55.87119823440014
65,-5048.824412206103,351.17558779389674,354958.26629246643,65.45694462837383,62.27257017966839,13.091388925674766,58.2830756521668,-34.71372121262359,0.49940269836585277,-0.2974518612023031,0.58126732475249,163.43215866170235,56.17712809750331,164.32240527803603,55.876464324464074
