frame,time_s_center,time_s_from_start,moon_distance_km,moon_px,sun_px,scale_pct,screen_x_px,screen_y_px,alpha_deg,beta_deg,angular_sep_deg,sun_az_deg,sun_alt_deg,moon_az_deg,moon_alt_deg,utc_iso
0,-5400.0,0.0,354972.8255214448,65.45425990837121,62.27263329431681,13.090851981674245,63.68874147964328,-34.89814285039056,0.5457188498965263,-0.299032088385226,0.6222687824612269,160.90172068572795,55.813591387012025,161.86547824908249,55.51077616721642,2006-03-29 09:24:04.555
1,-5394.597298649324,5.40270135067567,354972.5775556553,65.45430563138831,62.2726323337532,13.09086112627766,63.60507223040553,-34.89745365318339,0.5450019707519546,-0.2990261829610121,0.6216373698952999,160.94029157953022,55.81955849793708,161.9029293459998,55.516758272957546,2006-03-29 09:24:09.958
2,-5389.19459729865,10.805402701350433,354972.33033805434,65.4543512165087,62.272631372864176,13.09087024330174,63.521417323113,-34.89669822306793,0.5442852143187449,-0.2990197100164696,0.6210059772277473,160.97887404663163,55.82551404074738,161.94039163419902,55.52272936907817,2006-03-29 09:24:15.360
3,-5383.791895947974,16.2081040520261,354972.0838687141,65.45439666371846,62.27263041164965,13.090879332743691,63.43777686656425,-34.89587652222913,0.5435685815293971,-0.2990126692275762,0.6203746047723839,161.01746807070168,55.83145800927781,161.97786509952465,55.52868944971304,2006-03-29 09:24:20.763
4,-5378.389194597298,21.61080540270177,354971.838148049,65.45444197294064,62.27262945010948,13.090888394588127,63.354150903395016,-34.89498850190391,0.5428520727495276,-0.2990050601765006,0.6197432522998507,161.05607363536896,55.83739039737124,162.01534972678402,55.53463850910649,2006-03-29 09:24:26.166
5,-5372.986493246624,27.01350675337653,354971.59317558206,65.4544871442626,62.27262848824383,13.090897428852518,63.270539442818425,-34.89403411071689,0.5421356880583867,-0.2989968824230278,0.6191119193182573,161.0946907242165,55.84331119887866,162.05284550023606,55.54057654153747,2006-03-29 09:24:31.569
6,-5367.583791895948,32.4162081040522,354971.34895156394,65.45453217763755,62.272627526052574,13.090906435527508,63.18694268947784,-34.893013323546015,0.5414194292096762,-0.2989881357518955,0.6184806069095018,161.13331932078546,55.849220407657896,162.0903524070539,55.54650354104365,2006-03-29 09:24:36.971
7,-5362.181090545273,37.81890945472696,354971.1054762769,65.45457707301289,62.27262656353575,13.090915414602575,63.10336061380826,-34.89192608303653,0.5407032959503951,-0.2989788196716534,0.6178493142637212,161.17195940857113,55.85511801757541,162.12787043082832,55.55241950197533,2006-03-29 09:24:42.374
8,-5356.778389194597,43.22161080540264,354970.86274959124,65.45462183041192,62.27262560069324,13.090924366082383,63.01979327785316,-34.89077234404706,0.5399872888124466,-0.2989689337955025,0.6172180413079442,161.21061097102682,55.86100402250509,162.1653995564952,55.55832441857476,2006-03-29 09:24:47.777
9,-5351.375687843922,48.624312156078304,354970.6207713829,65.45466644985702,62.27262463752511,13.090933289971405,62.93624079474024,-34.88955207029254,0.5392714087654251,-0.298958477812529,0.6165867883876929,161.24927399156402,55.86687841632904,162.20293976972337,55.56421828501055,2006-03-29 09:24:53.179
10,-5345.972986493247,54.027013506753065,354970.37954148714,65.45471093137792,62.27262367403142,13.090942186275583,62.85270316375591,-34.88826520840619,0.5385556558035296,-0.2989474512654534,0.6159555549232526,161.2879484535476,55.87274119293684,162.24049105441674,55.57010109561863,2006-03-29 09:24:58.582
11,-5340.570285142571,59.429714857428735,354970.1390608491,65.45475527479987,62.27262271021193,13.090951054959971,62.769180516945454,-34.88691172327136,0.5378400310584417,-0.2989358538533735,0.6153243414044246,161.32663434030135,55.87859234622636,162.2780533964485,55.57597284457124,2006-03-29 09:25:03.985
12,-5335.167583791896,64.8324162081044,354969.899328639,65.45479948027524,62.27262174606666,13.090959896055049,62.685672922851154,-34.8854915720528,0.5371245351177478,-0.2989236852092493,0.6146931478118659,161.36533163510572,55.88443187010333,162.3156267806908,55.58183352612217,2006-03-29 09:25:09.387
13,-5329.764882441221,70.23511755877917,354969.660345174,65.45484354774503,62.27262078159571,13.090968709549006,62.602180446962265,-34.884004711102435,0.5364091685428758,-0.2989109449590761,0.6140619740988785,161.40404032119696,55.89025975848127,162.35321119192827,55.587683134540406,2006-03-29 09:25:14.790
14,-5324.362181090545,75.63781890945484,354969.4221109099,65.4548874771246,62.27261981679908,13.09097749542492,62.518703075455896,-34.88245108568322,0.5356939312157049,-0.2988976326338326,0.6134308195779575,161.44276038176574,55.896076005282026,162.39080661370258,55.59352166420748,2006-03-29 09:25:20.193
15,-5318.9594797398695,81.0405202601305,354969.1846258779,65.45493126840768,62.27261885167649,13.090986253681535,62.43524093717186,-34.88083066162317,0.5349788242404531,-0.29888374794071,0.6127996847140472,161.48149179996324,55.90188060443501,162.42841303167685,55.59934910931975,2006-03-29 09:25:25.596
16,-5313.556778389195,86.44322161080527,354968.9478890194,65.4549749217889,62.27261788622822,13.09099498435778,62.351794158867854,-34.87914340418595,0.5342638487034999,-0.2988692905820638,0.6121685699526346,161.52023455889625,55.90767354987808,162.46603043144165,55.605165464087065,2006-03-29 09:25:30.998
17,-5308.154077038519,91.84592296148094,354968.71190152265,65.45501843704858,62.27261692045406,13.091003687409716,62.26836271204317,-34.87738925638769,0.5335490043609649,-0.29885426006962,0.611537474483964,161.55898864162626,55.91345483555737,162.50365879619525,55.61097072293648,2006-03-29 09:25:36.401
18,-5302.751375687844,97.2486243121557,354968.47666331567,65.45506181419947,62.27261595435403,13.091012362839894,62.18494669902199,-34.87556818048016,0.5328342920898801,-0.2988386560799262,0.6109063985560625,161.59775403117357,55.91922445542647,162.54129811107714,55.61676488012235,2006-03-29 09:25:41.804
19,-5297.348674337169,102.65132566283135,354968.2421740001,65.45510505331448,62.27261498792817,13.091021010662896,62.10154623012684,-34.8736801408515,0.5321197128358094,-0.2988224783078351,0.6102753424843244,161.63653071051604,55.9249824034477,162.57894836130845,55.62254792988863,2006-03-29 09:25:47.206
20,-5291.945972986493,108.05402701350704,354968.00843384065,65.45514815434423,62.27261402117634,13.091029630868844,62.018161257153565,-34.87172507659883,0.5314052661860517,-0.2988057262314924,0.6096443052926411,161.67531866258375,55.93072867359142,162.61660952966517,55.62831986672251,2006-03-29 09:25:52.609
21,-5286.543271635818,113.4567283641818,354967.7754432605,65.45519111721015,62.27261305409856,13.09103822344203,61.93479198279324,-34.869702965678606,0.5306909538775892,-0.298788399662011,0.6090132880410564,161.71411787026952,55.93646325983587,162.65428160268758,55.63408068475695,2006-03-29 09:25:58.012
