phase,frame_start,frame_end,frame_start_expanded,frame_end_expanded,utc_start,utc_end
partial_or_total,126,1860,125,1861,2006-03-29 09:35:23.549,2006-03-29 12:11:27.194
totality,982,1018,981,1019,2006-03-29 10:55:42.443,2006-03-29 10:52:26.626
