psi_deg,lat_deg,lon_deg,elev_m,eff_radius_km,ang_rad,radius_px,x_px,y_px,sun_visible,radius_comp_px,ae_x,ae_y
0.0,21.68771000528674,91.80968266134964,2729.7054800568985,1740.1297054800573,0.0049004487573112,32.76744204759791,32.76744204759791,0.0,True,540.2944222018665,2588.2944222018664,1080.0
0.17578125,21.86349081975104,91.80926129103818,2729.707195728006,1740.1297071957283,0.0049004487621368,32.76744207986571,32.76728787004358,0.1005290955340199,True,540.2944227339224,2588.291880005484,1078.3424000717807
0.3515625,22.03927163314167,91.80883888199791,2729.7089112952053,1740.1297089112954,0.0049004487669625,32.76744211213352,32.76682527429587,0.2010572450478979,True,540.2944232659786,2588.2842523761483,1076.6848157422585
0.52734375,22.21505244544643,91.80841542240192,2729.7106267574018,1740.1297106267575,0.0049004487718334,32.76744214470429,32.766054265011256,0.3015835023351906,True,540.2944238030301,2588.2715393906383,1075.0272626132025
0.703125,22.390833256653004,91.80799090032464,2729.712342113282,1740.1297123421136,0.0049004487766138,32.767442176669114,32.76497484853727,0.4021069211961088,True,540.2944243300902,2588.2537411536177,1073.3697562862724
0.87890625,22.566614066748944,91.80756530374066,2729.7140573617617,1740.129714057362,0.0049004487814621,32.7674422090884,32.76358703609356,0.5026265554766332,True,540.294424864644,2588.230857850084,1071.7123123623721
1.0546875,22.742394875721708,91.80713862052292,2729.715772501524,1740.129715772502,0.0049004487862877,32.76744224135621,32.76189084013622,0.6031414590407034,True,540.2944253967001,2588.2028896854226,1070.054946442111
1.23046875,22.91817568355868,91.8067108384414,2729.7174875313394,1740.1297174875317,0.0049004487911134,32.767442273624006,32.759886276781344,0.703650685805615,True,540.294425928756,2588.1698369253686,1068.3976741252172
1.40625,23.09395649024709,91.80628194516149,2729.719202450109,1740.1297192024504,0.0049004487959843,32.76744230619479,32.75757336519896,0.8041532897476703,True,540.2944264658078,2588.131699886011,1066.7405110104469
1.58203125,23.269737295774085,91.8058519282425,2729.7209172564544,1740.1297209172567,0.0049004488007647,32.767442338159604,32.75495212624977,0.9046483248757644,True,540.2944269928679,2588.088478911318,1065.0834726960181
1.7578125,23.44551810012669,91.80542077513606,2729.722631949211,1740.1297226319496,0.0049004488056356,32.767442370730386,32.75202258581678,1.005134845323938,True,540.2944275299196,2588.040174428067,1063.4265747780862
1.93359375,23.62129890329183,91.8049884731845,2729.724346527066,1740.1297243465274,0.0049004488104613,32.76744240299819,32.748784770564754,1.105611905249679,True,540.2944280619757,2587.986786875928,1061.769832852419
2.109375,23.79707970525631,91.8045550096192,2729.726060988716,1740.129726060989,0.0049004488152643,32.76744243511449,32.74523871112009,1.206078558927401,True,540.2944285915336,2587.928316759891,1060.1132625128573
2.28515625,23.972860506006803,91.80412037155904,2729.727775332918,1740.129727775333,0.0049004488200899,32.7674424673823,32.74138444116186,1.3065338607373649,True,540.2944291235897,2587.864764635283,1058.456879351496
2.4609375,24.148641305529893,91.80368454600864,2729.729489558362,1740.1297294895587,0.0049004488249156,32.767442499650095,32.73722199681588,1.4069768651508752,True,540.2944296556456,2587.796131097774,1056.8006989589285
2.63671875,24.324422103812008,91.8032475198566,2729.7312036637413,1740.129731203664,0.0049004488297639,32.76744253206938,32.73275141741141,1.507406626767066,True,540.2944301901993,2587.722416795854,1055.1447369236416
2.8125,24.50020290083949,91.80280927987398,2729.732917647674,1740.129732917648,0.0049004488345442,32.7674425640342,32.72797274442132,1.6078222002744051,True,540.2944307172594,2587.643622413359,1053.4890088326479
2.98828125,24.67598369659853,91.80236981271236,2729.73463150892,1740.129734631509,0.0049004488393925,32.7674425964535,32.72288602373164,1.70822264056645,True,540.2944312518134,2587.5597487068935,1051.833530269579
3.1640625,24.851764491075222,91.80192910490211,2729.7363452460995,1740.1297363452463,0.0049004488442182,32.7674426287213,32.717491302614626,1.8086070026067185,True,540.2944317838693,2587.4707964559175,1050.1783168169125
3.33984375,25.0275452842555,91.80148714285066,2729.738058857827,1740.129738058858,0.0049004488490438,32.76744266098909,32.71178863199816,1.9089743415467648,True,540.2944323159252,2587.3767665001687,1048.523384054026
3.515625,25.2033260761252,91.80104391284053,2729.73977234272,1740.129739772343,0.0049004488538468,32.767442693105394,32.705778065406136,2.0093237126816472,True,540.2944328454831,2587.27765972219,1046.8687475579309
3.69140625,25.379106866670003,91.80059940102758,2729.741485699473,1740.1297414856997,0.0049004488586724,32.76744272537321,32.69945965971416,2.109654171502946,True,540.2944333775393,2587.173477059789,1045.2144229023975
3.8671875,25.554887655875454,91.80015359343908,2729.743198926626,1740.129743198927,0.0049004488635208,32.76744275779249,32.69283347439273,2.209964773663523,True,540.2944339120929,2587.064219493561,1043.5604256585375
4.04296875,25.730668443727,91.7997064759718,2729.7449120227284,1740.129744912023,0.0049004488683237,32.7674427899088,32.68589957135601,2.3102545749710983,True,540.294434441651,2586.949888044393,1041.9067713949087
4.21875,25.906449230209923,91.79925803439,2729.7466249864665,1740.1297466249869,0.0049004488732174,32.76744282263108,32.67865801677462,2.4105226315239103,True,540.2944349812009,2586.830483803357,1040.253475675279
4.39453125,26.082230015309356,91.79880825432356,2729.748337816309,1740.1297483378166,0.004900448877975,32.767442854444404,32.67110887729733,2.5107679994502607,True,540.294435505763,2586.706007869407,1038.6005540629205
4.5703125,26.25801079901031,91.7983571212659,2729.750050510808,1740.1297500505111,0.0049004488828233,32.767442886863684,32.66325222548964,2.6109897353148948,True,540.2944360403167,2586.57646143906,1036.9480221139086
